NAME,B01001_001E,B01001_001M,B05012_003E,B05012_003M,B05002_021E,B05002_021M,B16003_001E,B16003_001M,B19013_001E,B19013_001M,B05002_022E,B05002_022M,B05002_023E,B05002_023M,B05002_024E,B05002_024M,B05002_025E,B05002_025M,B05002_026E,B05002_026M,B05002_027E,B05002_027M,state,county,tract,GEOID,foreign_born_rate_e,foreign_born_rate_m,non_cit_foreign_born_rate_e,non_cit_foreign_born_rate_m,europe_origin_rate_e,europe_origin_rate_m,asia_origin_rate_e,asia_origin_rate_m,africa_origin_rate_e,africa_origin_rate_m,oceania_origin_rate_e,oceania_origin_rate_m,latam_origin_rate_e,latam_origin_rate_m,noram_origin_rate_e,noram_origin_rate_m,limited_english_rate_e,limited_english_rate_m,foreign_born_rate_cv,non_cit_foreign_born_rate_cv,europe_origin_rate_cv,asia_origin_rate_cv,africa_origin_rate_cv,oceania_origin_rate_cv,latam_origin_rate_cv,noram_origin_rate_cv,limited_english_rate_cv
"Census Tract 5012.10, Gloucester County, New Jersey",3452.0,249.0,144.0,80.0,0.0,12.0,0.0,12.0,123750.0,12359.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,34,15,501210,34015501210,0.0417149478563151,0.0233694947128923,0.0,0.0034762456546929,0.0,0.0034762456546929,0.0,0.0034762456546929,0.0,0.0034762456546929,0.0,0.0034762456546929,0.0,0.0034762456546929,0.0,0.0034762456546929,0.0,0.0034762456546929,34.055849269209865,inf,inf,inf,inf,inf,inf,inf,inf
"Census Tract 5013.01, Gloucester County, New Jersey",3570.0,155.0,93.0,55.0,27.0,23.0,0.0,12.0,88190.0,10762.0,11.0,17.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,16.0,17.0,34,15,501301,34015501301,0.0260504201680672,0.0154476242462396,0.007563025210084,0.0064509397337693,0.0030812324929971,0.0047637835575068,0.0,0.0033613445378151,0.0,0.0033613445378151,0.0,0.0033613445378151,0.0,0.0033613445378151,0.0044817927170868,0.0047658788602621,0.0,0.0033613445378151,36.04799069129373,51.85152504684557,93.98567173417848,inf,inf,inf,inf,64.64356964717321,inf
"Census Tract 5013.03, Gloucester County, New Jersey",2594.0,197.0,54.0,49.0,17.0,26.0,0.0,12.0,68063.0,12146.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,17.0,26.0,0.0,12.0,34,15,501303,34015501303,0.0208172706245181,0.0189557883622263,0.0065535851966075,0.0100354798062914,0.0,0.0046260601387818,0.0,0.0046260601387818,0.0,0.0046260601387818,0.0,0.0046260601387818,0.0065535851966075,0.0100354798062914,0.0,0.0046260601387818,0.0,0.0046260601387818,55.35440167917937,93.08791209554823,inf,inf,inf,inf,93.08791209554823,inf,inf
"Census Tract 5019, Gloucester County, New Jersey",4135.0,21.0,92.0,66.0,25.0,40.0,10.0,19.0,86591.0,28945.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,25.0,40.0,0.0,12.0,34,15,501900,34015501900,0.0222490931076178,0.0159617058774513,0.0060459492140266,0.0096735674729556,0.0,0.0029020556227327,0.0,0.0029020556227327,0.0,0.0029020556227327,0.0,0.0029020556227327,0.0060459492140266,0.0096735674729556,0.0,0.0029020556227327,0.0024183796856106,0.0045949378171608,43.61150641156421,97.26492766120776,inf,inf,inf,inf,97.26492766120776,inf,115.50193236449964
"Census Tract 5003, Gloucester County, New Jersey",2959.0,25.0,48.0,26.0,35.0,23.0,21.0,21.0,65625.0,9617.0,21.0,19.0,9.0,10.0,0.0,12.0,0.0,12.0,5.0,7.0,0.0,12.0,34,15,500300,34015500300,0.0162216965190942,0.0087878210846098,0.0118283203785062,0.0077735386485856,0.0070969922271037,0.006421368162034,0.0030415680973301,0.003379617807988,0.0,0.0040554241297735,0.0,0.0040554241297735,0.0016897600540723,0.002365707153464,0.0,0.0040554241297735,0.0070969922271037,0.0070972455221352,32.93207014863299,39.95119559038635,55.003121700561216,67.54670107285762,inf,inf,85.10793273070112,inf,60.792443190036416
"Census Tract 5009, Gloucester County, New Jersey",2986.0,20.0,62.0,40.0,17.0,20.0,41.0,43.0,96875.0,12762.0,17.0,20.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,34,15,500900,34015500900,0.0207635632953784,0.0133965691794114,0.0056932350971198,0.0066980321924421,0.0056932350971198,0.0066980321924421,0.0,0.0040187541862022,0.0,0.0040187541862022,0.0,0.0040187541862022,0.0,0.0040187541862022,0.0,0.0040187541862022,0.0137307434695244,0.014400829501073,39.2216448374572,71.51912793360363,71.51912793360363,inf,inf,inf,inf,inf,63.75695291008099
"Census Tract 5012.05, Gloucester County, New Jersey",2806.0,159.0,176.0,75.0,67.0,50.0,117.0,97.0,95759.0,17009.0,14.0,15.0,6.0,11.0,0.0,12.0,0.0,12.0,40.0,46.0,7.0,11.0,34,15,501205,34015501205,0.0627227369921596,0.0269637045206706,0.0238774055595153,0.0178702521523135,0.0049893086243763,0.0053531585360171,0.0021382751247327,0.0039220430686556,0.0,0.0042765502494654,0.0,0.0042765502494654,0.0142551674982181,0.016413331031937,0.0024946543121881,0.0039227188515061,0.0416963649322879,0.0346494294312049,26.13296314071626,45.49646376572328,65.22346006106812,111.50205522439413,inf,inf,69.99362747053989,95.589657814384,50.51635309482825
"Census Tract 5002.02, Gloucester County, New Jersey",4582.0,315.0,38.0,35.0,0.0,12.0,55.0,80.0,66830.0,11961.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,34,15,500202,34015500202,0.0082933216935835,0.0076598339334418,0.0,0.0026189436927106,0.0,0.0026189436927106,0.0,0.0026189436927106,0.0,0.0026189436927106,0.0,0.0026189436927106,0.0,0.0026189436927106,0.0,0.0026189436927106,0.0120034919249236,0.0174791149355659,56.146791046281166,inf,inf,inf,inf,inf,inf,inf,88.52092250319235
"Census Tract 5010.02, Gloucester County, New Jersey",4171.0,308.0,450.0,299.0,320.0,292.0,117.0,85.0,30878.0,7274.0,8.0,13.0,0.0,12.0,0.0,12.0,0.0,12.0,312.0,292.0,0.0,12.0,34,15,501002,34015501002,0.1078877966914409,0.0721267836670553,0.0767202109805802,0.0702360466192371,0.0019180052745145,0.0031199749222649,0.0,0.0028770079117717,0.0,0.0028770079117717,0.0,0.0028770079117717,0.0748022057060656,0.070224764451117,0.0,0.0028770079117717,0.0280508271397746,0.0204838053118031,40.64043426886699,55.65246019164858,98.8861352641886,inf,inf,inf,57.070277555453394,inf,44.39142283299861
"Census Tract 5023, Gloucester County, New Jersey",2579.0,24.0,365.0,215.0,281.0,214.0,54.0,82.0,81071.0,10073.0,11.0,11.0,7.0,10.0,0.0,12.0,0.0,12.0,263.0,213.0,0.0,12.0,34,15,502300,34015502300,0.1415277239240015,0.0833760485999176,0.1089569600620395,0.0829840931221895,0.0042652190771616,0.0042654037579604,0.0027142303218301,0.0038775541561384,0.0,0.0046529662659945,0.0,0.0046529662659945,0.1019775106630477,0.0825956032235814,0.0,0.0046529662659945,0.0209383481969755,0.0317958665306509,35.812437746460866,46.29925173060324,60.79290572964938,86.84509047920915,inf,inf,49.23643734640434,inf,92.31288954469068
"Census Tract 5004, Gloucester County, New Jersey",5904.0,16.0,359.0,226.0,82.0,71.0,66.0,87.0,45450.0,15231.0,19.0,44.0,0.0,17.0,22.0,35.0,0.0,17.0,41.0,52.0,0.0,17.0,34,15,500400,34015500400,0.0608062330623306,0.0382794874816748,0.0138888888888888,0.0120258041606968,0.0032181571815718,0.0074525796287421,0.0,0.0028794037940379,0.0037262872628726,0.0059281928828225,0.0,0.0028794037940379,0.0069444444444444,0.0088076081823029,0.0,0.0028794037940379,0.0111788617886178,0.0147358034991916,38.26944045716462,52.63573857569448,140.77757199837905,inf,96.71193915497231,inf,77.10003515207435,inf,80.13280267037646
"Census Tract 5008, Gloucester County, New Jersey",2259.0,71.0,53.0,34.0,10.0,13.0,9.0,14.0,124821.0,18312.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,5.0,9.0,5.0,9.0,34,15,500800,34015500800,0.0234617087206728,0.0150689605255179,0.0044267374944665,0.0057564403757529,0.0,0.0053120849933598,0.0,0.0053120849933598,0.0,0.0053120849933598,0.0,0.0053120849933598,0.0022133687472332,0.0039846710438008,0.0022133687472332,0.0039846710438008,0.0039840637450199,0.0061986973761835,39.04431017622876,79.05044868587206,inf,inf,inf,inf,109.43917188992182,109.43917188992182,94.58194780681322
